fbo_id_1,fbo_id_2,raw_address_1,raw_address_2,similarity_score,block_key,house_number_1,house_number_2,high_confidence,locality_match
22825033000242,22818033000597,"B/1/2/H/5 RUSTOMJEE PARSEE ROAD.WARD NO-006, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","B/1/1/H/1/1 RUSTOMGG PRASEE ROAD.WARD NO-006, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",94.47,pin_700002,,,False,False
22821033000358,22819033000546,"T-1/1C, DUM DUM ROAD, WARD- 002, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","T-51C, LOCK GATE ROAD, WARD- 006, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",91.43,pin_700002,,,False,False
22821033000358,22820033000163,"T-1/1C, DUM DUM ROAD, WARD- 002, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","T1/6B, COSSIPORE ROAD, WARD- 006, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",90.61,pin_700002,,,False,False
22819033000546,22820033000163,"T-51C, LOCK GATE ROAD, WARD- 006, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002","T1/6B, COSSIPORE ROAD, WARD- 006, KOLKATA- 700002, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700002",91.06,pin_700002,,,False,False
22821033000616,22821033000615,"T-13C/1B, BAGBAZAR STREET,WARD NO.-07, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700003","86B,SHAMBAZAR STREET,WARD NO-08, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700003",90.74,pin_700003,,86B,False,False
22823034000125,22825034000135,"25A, BAGBAZAR STREET, WARD No.010, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700003","B/23A/H/15 BAGHBAZAR STREET, WARD NO-10, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700003",90.0,pin_700003,25A,,False,False
22825034000135,22825034000168,"B/23A/H/15 BAGHBAZAR STREET, WARD NO-10, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700003","43/2C, BAGBAZAR STREET WARD NO.10, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700003",90.0,pin_700003,,43/2C,False,False
22820034000032,22821034000124,"B/21B/H/1,R G KAR ROAD,KOLKATA 700004,WARD-012,BR-II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700004","B/22/H/1,ULTADANGA ROAD,KOLKATA 700004,WARD-012,BR-II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700004",92.49,pin_700004,,,False,False
12819019002475,12822019001649,"B/21B/H/1,R G KAR ROAD,KOLKATA 700004,WARD-012,BR-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700004","B/20/H/11,ULTADANGA ROAD,KOLKATA 700004,WARD-012,BR-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700004",91.3,pin_700004,,,False,False
22821034000545,22820034000167,"81A,BEADON STREET,KOLKATA 700006,WARD-018,BR-II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006","B/19E/H/6,GOABAGAN STREET,KOLKATA 700006,WARD-016,BR-II, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700006",92.0,pin_700006,81A,,False,False
