fbo_id,source_db,raw_address
22820041000018,registration,"5, KARL MARX SARANI, KOLKATA-23, WARD NO.77, BOROUGH- IX, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700023"
22820041000013,registration,"31, HARISH CHATTERJEE STREET, KOLKATA-26, WARD NO.73, BOROUGH- IX, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700026"
22820041000014,registration,"4/1/H/3, BHUKAILASH ROAD, KOLKATA-23, WARD NO.78, BOROUGH- IX, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700023"
22820041000015,registration,"73/1, DOCTOR SUDHIR BOSE ROAD, KOLKATA-23, WARD NO.77, BOROUGH- IX, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700023"
22820038000012,registration,"1/1, MEREDITH STREET,_x000d_
GROUND FLOOR,_x000d_
WARD NO - 46, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700072"
22820036000015,registration,"10/5, VIVEKANANDA ROAD, BOROUGH-IV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700007"
22820041000011,registration,"Calcutta Boating & Hotels Resorts, 11A/1J,East Topsia Road, park circus connector, near science city, BOROUGH- IX, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700046"
22820037000015,registration,"72/1, PHEARS LANE, 1ST FLOOR, LAIS BADI, NEAR LUCKNOW SWEETS, KOLKATA-700073, BOROUGH- V, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700073"
22820041000019,registration,"5, GOPAL GHOSE LANE, KOLKATA-23, WARD NO.77, BOROUGH- IX, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700023"
22820046000020,registration,"175/77,MAHENDRA BANERJEE ROAD,(RABINDRA NAGAR),_x000d_
WARD NO.-129, BOROUGH-XIV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700060"
22820044000027,registration,"477,LASKARHAT GROUND FLOOR,WARD NO-107,BR XII,KOLKATA-700039, BOROUGH-XII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700039"
22820044000026,registration,"102 NONADANGA ROAD, PRASANTA SUR NAGAR, BOROUGH-XII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700105"
22820041000020,registration,"42/H/21 EKBALPORE LANE, WARD-78, BOROUGH- IX, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700023"
22819041000014,registration,"2A, KUNDU ROAD, KOLKATA-25, WARD NO.71, BOROUGH- IX, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700025"
22820033000007,registration,"Baguiati Chawul Patty Archan Apartment, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700059"
22820044000029,registration,"30, JOGENDRA GARDEN, BOROUGH-XII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700078"
22820039000017,registration,"SAHEBABAD DHAPA, BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700105"
22820033000008,registration,"Baguiati Chawul Patty Archan Apartment, BOROUGH- I, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700059"
22820040000022,registration,"332, RAMAKRISHNA PALLI, P.O. SONARPUR, BOROUGH- VIII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700015"
22820039000018,registration,"PLOT 20 UDAYAN INDUSTRIAL ESTATE_x000d_
3 PAGLADANGA ROAD _x000d_
KOLKATA, BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700015"
22820035000016,registration,"B/10/H/6, DR. SURESH CHANDRA BANERJEE ROAD,WARD NO-34, BOROUGH- III, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700085"
22820046000025,registration,"P-16, UNIQUE PARK, WARD NO-130, BOROUGH-XIV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700034"
22820035000015,registration,"8,DR.SURESH CHANDRA BANERJEE ROAD,WARD NO-35, BOROUGH- III, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700085"
22820035000017,registration,"20/H/30,HARISH NEOGI ROAD, BOROUGH- III, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700067"
22820046000024,registration,"1403D, MAHENDRA BANERJEE ROAD, WARD NO-129, BOROUGH-XIV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700060"
22820039000021,registration,"NANDITA MUKHERJEE (PROPRIETOR) 11, USTAD BADE GOLAM ALI KHAN SARANI, WARD- 65, BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700019"
22820043000007,registration,"SANGITA GHOSH (PROPRIETOR) 43, VIVEKANANDA SARANI, WARD- 104, BOROUGH- XI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700078"
22820046000026,registration,"336/A HO-CHI-MINH SARANI, KOL-61, BOROUGH-XIV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700061"
22820042000043,registration,"60, Bikramgarh, ground floor, BOROUGH-X, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700032"
22820035000012,registration,"1st Floor, Room No 3, T/22/H, Shib Krishna Daw Lane, Kankurgachi, BOROUGH- III, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700054"
22820035000013,registration,"B/5/H/1,GAGAN SARKAR ROAD,KOLKATA-700010,WARD-034,BR-III, BOROUGH- III, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700010"
22819042000027,registration,"195, SAHAPUR COLONY (WEST) BLOCK - J, NEW ALIPORE, WARD NO. 81, KOLKATA - 700053, BOROUGH-X, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700053"
22820036000019,registration,"2, BYSACK STREET, BOROUGH-IV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700007"
22820046000021,registration,"20/1, MAHENDRA BANERJEE ROAD WARD-129, BOROUGH-XIV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700060"
22820044000034,registration,"3 RAMLAL BAZAR, KOLKATA 700078, MAILING - 2, RAMLAL BAZAR,  KOLKATA 700078, BOROUGH-XII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700078"
22820038000018,registration,"SHOP NO - NB-1A, S.S.HOGG MARKET, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700087"
22820043000009,registration,"42,Valley Park,Sreerampur Road Garia KOLKATA South 24 Parganas, BOROUGH- XI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700084"
22820046000028,registration,"530 KASTA DANGA ROAD, KOL-61, BOROUGH-XIV, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700061"
22820035000018,registration,"47,MOULANA ABUL KALAM AZAD SARANI,WARD NO-33, BOROUGH- III, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700054"
22820041000023,registration,"B/13/H/18, MAURBHANJ ROAD, KOLKATA-23, WARD NO.78, BOROUGH- IX, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700023"
22820042000045,registration,"28/7, SAHAPUR COLONY (EAST), SP NO.287, NEW ALIPORE, KOLKATA-53, WARD NO.81, BOROUGH-X, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700053"
22820034000011,registration,"14A MAHENDRA BOSE LANE, BOROUGH-II, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700003"
22820045000021,registration,"28, ROY BAHADUR ROAD,WARD NO-120, BOROUGH-X III, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700034"
22820042000046,registration,"13/2, CHANDITOLA LANE, GROUND FLOOR, WD-97, BR-X, BOROUGH-X, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700040"
22820038000022,registration,"108B, ANANDA PALIT ROAD, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014"
22820042000050,registration,"1/53, JAHURA BAZAR LANE, KOLKATA-700042, BOROUGH-X, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700042"
