fbo_id_1,fbo_id_2,raw_address_1,raw_address_2,similarity_score,block_key,house_number_1,house_number_2,high_confidence
22821039000421,22822039000385,"B/8,RAMESWAR SHAW ROAD, BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/1/H/11,RAMESHWAR SHAW ROAD,WARD-59, BOROUGH- VII, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",92.38,pin_700014,,,False
22822038000232,22822038000196,"4/1 CHATU BABU LANE,WARD NO-55,BR VI,KOLKATA-700014, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","4/1 CHATU BABU LANE,WARD NO-55,KOLKATA-700014, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",97.54,pin_700014,4/1,4/1,True
22822038000253,22822038000278,"P-16, C.I.T ROAD, SCHEME LV, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","P-54 CIT ROAD, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",90.43,pin_700014,,,False
22822038000319,22822038000297,"35A, SURENDRA NATH BANERJEE ROAD WARD-53, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/50/1/H/2, SURENDRA NATH BANERJEE ROAD WARD-53, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",92.77,pin_700014,35A,,False
22823038000220,22822038000175,"4/1 CHATUBABU LANE, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","BAZAR AT 4/1 CHATU BABU LANE, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",90.72,pin_700014,4/1,,False
22823038000251,22821038000654,"98/H/16, LINTON STREET, KOLKATA 700014, WARD 060 BR VI, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/76/H/13, LINTON STREET, GROUND FLOOR, KOLKATA 700014, WARD 060 BR VI, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",91.91,pin_700014,98,,False
22822038000456,22822038000085,"85/2, DR. LAL MOHAN BHATTACHARYYA  ROAD WARD-55, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/90/H/9, DR LAL MOHAN BHATTACHARYA ROAD, WARD 55, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",91.36,pin_700014,85/2,,False
22822038000456,22823038000128,"85/2, DR. LAL MOHAN BHATTACHARYYA  ROAD WARD-55, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","85/2, DR. LAL MOHAN BHATTACHARYYA ROAD, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",96.55,pin_700014,85/2,85/2,True
22822038000456,12825019001888,"85/2, DR. LAL MOHAN BHATTACHARYYA  ROAD WARD-55, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","85/2, DR.LAL MOHAN BHATTACHARYYA ROAD WARD NO-55 BOROUGH-VI , KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",91.74,pin_700014,85/2,85/2,True
22822038000465,22821038000828,"70 HARE KRISHNA KONAR ROAD GROUND FLOOR  KOLKATA 700014 WARD 60 BR VI, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/46/H/6, HARE KRISHNA KONAR ROAD, GROUND FLOOR, KOLKATA 700014, WARD 060 BR VI, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",94.24,pin_700014,70,,False
22822038000465,22821038000052,"70 HARE KRISHNA KONAR ROAD GROUND FLOOR  KOLKATA 700014 WARD 60 BR VI, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","B/46/H/4, HARE KRISHNA KONAR ROAD, GROUND FLOOR , KOLKATA 700014, WARD 060 BR VI, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",93.92,pin_700014,70,,False
22819038000301,22823038000261,"46/c, Gora Chand Road(Ward 60), BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","46/c, Gora Chand Road, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",94.47,pin_700014,46,46,True
22820038000207,22822038000278,"P4B CIT ROAD, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","P-54 CIT ROAD, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",98.27,pin_700014,,,False
22820038000207,22821038000515,"P4B CIT ROAD, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","1/A, CONVENT ROAD, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",91.53,pin_700014,,1,False
22820038000207,22824038000047,"P4B CIT ROAD, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","9 CHRISTOPHER ROAD , BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",90.5,pin_700014,,9,False
22823038000293,12822019002712,"174, ACHARYA JAGADISH BOSE ROAD, KOLKATA 700014, WARD 060 BR VI, BOROUGH-VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014","174, ACHARYA JAGADISH BOSE ROAD, KOLKATA 700014, WARD 060 BR VI, KOLKATA  MUNICIPAL CORPORATION, Kolkata, West Bengal - 700014",95.42,pin_700014,174,174,True
